BARRIO ALTE. BROWN,"-58.644495,-34.480374,0.0 -58.679137,-34.46984,0.0 -58.68111,-34.47118,0.0 -58.678579,-34.474368,0.0 -58.661341,-34.489368,0.0 -58.644495,-34.480374,0.0"
BARRIO LA PALOMA,"-58.660697,-34.45575,0.0 -58.669357,-34.46049,0.0 -58.668327,-34.46248,0.0 -58.675617,-34.46616,0.0 -58.679266,-34.469062,0.0 -58.679351,-34.469911,0.0 -58.672519,-34.472101,0.0 -58.667155,-34.473478,0.0 -58.665138,-34.474088,0.0 -58.662864,-34.472787,0.0 -58.663893,-34.471079,0.0 -58.664236,-34.470539,0.0 -58.646777,-34.461764,0.0 -58.660697,-34.45575,0.0"
RINCON DE MILBERG,"-58.613012,-34.427479,0.0 -58.60533,-34.434027,0.0 -58.59915,-34.439973,0.0 -58.596275,-34.441283,0.0 -58.596103,-34.440363,0.0 -58.595631,-34.439478,0.0 -58.593914,-34.436009,0.0 -58.5937,-34.435372,0.0 -58.592713,-34.432647,0.0 -58.592198,-34.430806,0.0 -58.593871,-34.428434,0.0 -58.59194,-34.425461,0.0 -58.588464,-34.42008,0.0 -58.591983,-34.414522,0.0 -58.59327,-34.410521,0.0 -58.593106,-34.410238,0.0 -58.590531,-34.407405,0.0 -58.607012,-34.397137,0.0 -58.617739,-34.391258,0.0 -58.621516,-34.389558,0.0 -58.623146,-34.390479,0.0 -58.624005,-34.391258,0.0 -58.624262,-34.392391,0.0 -58.624091,-34.393596,0.0 -58.623576,-34.39487,0.0 -58.623061,-34.398128,0.0 -58.622546,-34.401244,0.0 -58.622889,-34.403156,0.0 -58.623833,-34.405847,0.0 -58.62452,-34.407547,0.0 -58.625807,-34.410238,0.0 -58.626236,-34.412362,0.0 -58.625721,-34.41477,0.0 -58.624777,-34.41654,0.0 -58.619456,-34.421638,0.0 -58.613012,-34.427479,0.0"
NUEVO DELTA,"-58.61937,-34.421779,0.0 -58.624606,-34.416681,0.0 -58.625979,-34.413991,0.0 -58.626236,-34.41215,0.0 -58.625807,-34.410379,0.0 -58.622803,-34.403156,0.0 -58.622546,-34.401528,0.0 -58.62349,-34.394587,0.0 -58.624176,-34.393525,0.0 -58.624176,-34.392746,0.0 -58.624091,-34.391542,0.0 -58.623146,-34.39055,0.0 -58.621258,-34.389488,0.0 -58.650911,-34.376879,0.0 -58.654145,-34.387929,0.0 -58.665131,-34.393737,0.0 -58.675774,-34.387929,0.0 -58.693112,-34.396853,0.0 -58.699951,-34.400961,0.0 -58.688364,-34.406697,0.0 -58.678923,-34.412716,0.0 -58.659611,-34.430558,0.0 -58.65283,-34.433319,0.0 -58.645878,-34.438841,0.0 -58.638926,-34.443229,0.0 -58.633175,-34.434027,0.0 -58.626909,-34.428151,0.0 -58.61937,-34.421779,0.0"
TIGRE CENTRO,"-58.590431,-34.407405,0.0 -58.593178,-34.41045,0.0 -58.591976,-34.414274,0.0 -58.588371,-34.420009,0.0 -58.593778,-34.428434,0.0 -58.587513,-34.436929,0.0 -58.579445,-34.444716,0.0 -58.560734,-34.430841,0.0 -58.565969,-34.418239,0.0 -58.580217,-34.414982,0.0 -58.585195,-34.412645,0.0 -58.590431,-34.407405,0.0"
TRONCOS DEL TALAR,"-58.595622,-34.443227,0.0 -58.595975,-34.441849,0.0 -58.59613,-34.441522,0.0 -58.595874,-34.440036,0.0 -58.596264,-34.441276,0.0 -58.5991,-34.439939,0.0 -58.600473,-34.438594,0.0 -58.604078,-34.435054,0.0 -58.612654,-34.427756,0.0 -58.619184,-34.421666,0.0 -58.625444,-34.426626,0.0 -58.633084,-34.434126,0.0 -58.638834,-34.443186,0.0 -58.63004,-34.448923,0.0 -58.621244,-34.454236,0.0 -58.622274,-34.455926,0.0 -58.619004,-34.456926,0.0 -58.613604,-34.463716,0.0 -58.6052741,-34.4759578,0.0 -58.5979319,-34.4562498,0.0 -58.594714,-34.449776,0.0 -58.5951,-34.44814,0.0 -58.594935,-34.446198,0.0 -58.595622,-34.443227,0.0"
TORCUATO ESTE,"-58.626566,-34.470689,0.0 -58.643646,-34.479816,0.0 -58.632402,-34.482222,0.0 -58.626823,-34.483213,0.0 -58.623991,-34.483708,0.0 -58.621244,-34.483849,0.0 -58.619699,-34.48767,0.0 -58.61867,-34.489014,0.0 -58.617339,-34.492233,0.0 -58.616309,-34.495239,0.0 -58.615966,-34.496159,0.0 -58.615365,-34.497149,0.0 -58.614979,-34.497927,0.0 -58.615022,-34.498387,0.0 -58.61588,-34.498316,0.0 -58.616781,-34.498882,0.0 -58.61721,-34.499589,0.0 -58.620086,-34.503904,0.0 -58.609614,-34.504576,0.0 -58.61043,-34.502242,0.0 -58.604422,-34.500898,0.0 -58.6044221,-34.4889786,0.0 -58.6048507,-34.4832831,0.0 -58.604765,-34.482753,0.0 -58.605452,-34.481196,0.0 -58.604465,-34.480312,0.0 -58.6041639,-34.4800284,0.0 -58.6045073,-34.4796397,0.0 -58.6054946,-34.4777295,0.0 -58.606181,-34.476774,0.0 -58.60837,-34.475607,0.0 -58.609142,-34.475394,0.0 -58.61176,-34.474899,0.0 -58.61515,-34.474439,0.0 -58.619184,-34.473732,0.0 -58.623776,-34.472139,0.0 -58.626566,-34.470689,0.0"
TORCUATO OESTE,"-58.648202,-34.500049,0.0 -58.64567,-34.502277,0.0 -58.620178,-34.503869,0.0 -58.616745,-34.498811,0.0 -58.615887,-34.498316,0.0 -58.615071,-34.498316,0.0 -58.614986,-34.497892,0.0 -58.615887,-34.4963,0.0 -58.618676,-34.488978,0.0 -58.619449,-34.488094,0.0 -58.62143,-34.483849,0.0 -58.624777,-34.483496,0.0 -58.629326,-34.482717,0.0 -58.633532,-34.481939,0.0 -58.64366,-34.479675,0.0 -58.661341,-34.489368,0.0 -58.648202,-34.500049,0.0"
RICARDO ROJAS,"-58.69737,-34.4508,0.0 -58.6912,-34.4588,0.0 -58.69013,-34.45996,0.0 -58.68691,-34.4641,0.0 -58.68472,-34.46722,0.0 -58.68339,-34.46835,0.0 -58.68111,-34.47118,0.0 -58.674717,-34.471892,0.0 -58.68106,-34.47118,0.0 -58.67562,-34.46626,0.0 -58.66828,-34.46251,0.0 -58.66948,-34.4606,0.0 -58.66082,-34.45561,0.0 -58.667,-34.45257,0.0 -58.66863,-34.45228,0.0 -58.67883,-34.44641,0.0 -58.68666,-34.4428,0.0 -58.68966,-34.44783,0.0 -58.69936,-34.44775,0.0 -58.69737,-34.4508,0.0"
PACHECO/ LAS TUNAS,"-58.656993,-34.457314,0.0 -58.655019,-34.455085,0.0 -58.653731,-34.452325,0.0 -58.652616,-34.452502,0.0 -58.649096,-34.448503,0.0 -58.651843,-34.446238,0.0 -58.658752,-34.440186,0.0 -58.659096,-34.439584,0.0 -58.658581,-34.438841,0.0 -58.65828,-34.434912,0.0 -58.656178,-34.431903,0.0 -58.659697,-34.430629,0.0 -58.665619,-34.425107,0.0 -58.684244,-34.435726,0.0 -58.685746,-34.433956,0.0 -58.686476,-34.432717,0.0 -58.687506,-34.431797,0.0 -58.688278,-34.432328,0.0 -58.695445,-34.43608,0.0 -58.699093,-34.436363,0.0 -58.713684,-34.431549,0.0 -58.699093,-34.447406,0.0 -58.68948,-34.44783,0.0 -58.68727,-34.443725,0.0 -58.686969,-34.4433,0.0 -58.686776,-34.442858,0.0 -58.685725,-34.443194,0.0 -58.685296,-34.443389,0.0 -58.678322,-34.446698,0.0 -58.668022,-34.452572,0.0 -58.666906,-34.452572,0.0 -58.656993,-34.457314,0.0"
GRAL. PACHECO,"-58.658251,-34.434806,0.0 -58.658595,-34.438841,0.0 -58.659024,-34.43969,0.0 -58.649067,-34.448538,0.0 -58.652415,-34.452643,0.0 -58.653702,-34.452289,0.0 -58.654818,-34.454979,0.0 -58.656964,-34.457385,0.0 -58.647437,-34.461702,0.0 -58.638167,-34.465665,0.0 -58.629412,-34.469415,0.0 -58.624091,-34.472033,0.0 -58.617911,-34.474015,0.0 -58.610701,-34.474934,0.0 -58.607954,-34.475854,0.0 -58.605637,-34.476986,0.0 -58.6054222,-34.476456,0.0 -58.6052741,-34.4759578,0.0 -58.6092637,-34.4702114,0.0 -58.613604,-34.463716,0.0 -58.613619,-34.463825,0.0 -58.618769,-34.45696,0.0 -58.62246,-34.45604,0.0 -58.62143,-34.454625,0.0 -58.645634,-34.438912,0.0 -58.65293,-34.433248,0.0 -58.656277,-34.431903,0.0 -58.658251,-34.434806,0.0"
DIQUE LUJAN,"-58.650911,-34.376879,0.0 -58.658176,-34.371353,0.0 -58.661481,-34.366994,0.0 -58.664249,-34.366161,0.0 -58.666673,-34.364902,0.0 -58.669567,-34.361151,0.0 -58.674225,-34.360438,0.0 -58.678086,-34.359303,0.0 -58.686712,-34.351402,0.0 -58.690702,-34.347326,0.0 -58.712076,-34.358593,0.0 -58.719256,-34.362143,0.0 -58.721146,-34.363983,0.0 -58.721146,-34.365253,0.0 -58.689906,-34.380133,0.0 -58.713076,-34.394583,0.0 -58.705487,-34.398695,0.0 -58.70008,-34.401191,0.0 -58.700026,-34.401226,0.0 -58.697645,-34.39981,0.0 -58.695252,-34.398358,0.0 -58.694072,-34.397668,0.0 -58.692978,-34.396995,0.0 -58.68448,-34.392692,0.0 -58.675833,-34.388141,0.0 -58.665018,-34.393843,0.0 -58.654976,-34.388779,0.0 -58.650911,-34.376879,0.0"
BENAVIDEZ,"-58.71299,-34.3943,0.0 -58.72879,-34.408609,0.0 -58.713684,-34.431549,0.0 -58.699093,-34.436363,0.0 -58.696797,-34.436354,0.0 -58.694158,-34.435496,0.0 -58.687506,-34.431797,0.0 -58.684244,-34.435726,0.0 -58.665619,-34.425107,0.0 -58.67712,-34.413991,0.0 -58.688364,-34.406697,0.0 -58.699951,-34.400961,0.0 -58.71299,-34.3943,0.0"
EL TALAR,"-58.644805,-34.480276,0.0 -58.626566,-34.470689,0.0 -58.64708,-34.461843,0.0 -58.664236,-34.470539,0.0 -58.662864,-34.472787,0.0 -58.665138,-34.474088,0.0 -58.644805,-34.480276,0.0"
TIGRE NORTE,"-58.592198,-34.430806,0.0 -58.595796,-34.43923,0.0 -58.596275,-34.441283,0.0 -58.595109,-34.44553,0.0 -58.595109,-34.446804,0.0 -58.595066,-34.44868,0.0 -58.57937,-34.444795,0.0 -58.592198,-34.430806,0.0"
Islas del Delta,"-58.686325,-34.351154,0.0 -58.67815,-34.358955,0.0 -58.675661,-34.359805,0.0 -58.673086,-34.359805,0.0 -58.669396,-34.361151,0.0 -58.667851,-34.362037,0.0 -58.66579,-34.364481,0.0 -58.662701,-34.366323,0.0 -58.660052,-34.366784,0.0 -58.657403,-34.370857,0.0 -58.651083,-34.376454,0.0 -58.621945,-34.388921,0.0 -58.606841,-34.397137,0.0 -58.591132,-34.406555,0.0 -58.585932,-34.411548,0.0 -58.580046,-34.414982,0.0 -58.566227,-34.417814,0.0 -58.5561,-34.42585,0.0 -58.542023,-34.431974,0.0 -58.535242,-34.438628,0.0 -58.52666,-34.442876,0.0 -58.518419,-34.445919,0.0 -58.515673,-34.446627,0.0 -58.509428,-34.443584,0.0 -58.50164,-34.440646,0.0 -58.480703,-34.404002,0.0 -58.471096,-34.387962,0.0 -58.45368,-34.388884,0.0 -58.446051,-34.37555,0.0 -58.443182,-34.370511,0.0 -58.441515,-34.36526,0.0 -58.457651,-34.325434,0.0 -58.49001,-34.322102,0.0 -58.513355,-34.301117,0.0 -58.544598,-34.299132,0.0 -58.601589,-34.276155,0.0 -58.648624,-34.266438,0.0 -58.65386,-34.271474,0.0 -58.679867,-34.345633,0.0 -58.683203,-34.34873,0.0 -58.686325,-34.351154,0.0"
